ModulesRack.row,ModulesRack.col,Module.name,Module.te,Module.current5v,Module.current_plus,Module.current_min,Module.depth,Module.is_passive,Module.vendor_id,Module.id,Module.Vendor.name,manual_found,manual_url
1,1,"Moog Mother-32",60,0,230,0,26,,156,6880,"Moog Music Inc.",Yes,https://api.moogmusic.com/sites/default/files/2020-07/Mother_32_Users_Manual.pdf
1,61,VM,2,0,55,17,45,,104,2638,"Division 6",No,
2,1,"3x MIA - black",6,0,80,80,35,,223,19038,"Happy Nerding",No,
2,7,Ts-L,6,0,80,75,42,,391,15053,Instruō,Yes,https://www.instruomodular.com/wp-content/uploads/2022/02/Ts-L-V2-Manual.pdf
2,13,Plaits,12,0,50,5,25,,160,16165,"Mutable instruments",Yes,https://pichenettes.github.io/mutable-instruments-documentation/modules/plaits/downloads/plaits_quickstart.pdf
2,25,"Piston Honda MK III",17,0,145,45,40,,74,15606,"Industrial Music Electronics",Yes,https://ime-assets.s3.amazonaws.com/uploads/manual/manual/24/phmk3manual11.pdf
2,42,Scales,8,,35,5,39,,42,20733,Intellijel,Yes,https://intellijel.com/downloads/manuals/scales_manual_1.01_2021.05.11.pdf
2,50,Shifty,6,0,49,4,40,,42,10442,Intellijel,Yes,https://intellijel.com/downloads/manuals/shifty_manual_1.11_2019.01.02.pdf
2,56,"Tune (Black Panel)",2,0,40,3,47,,363,13915,2hp,Yes,https://www.analoguehaven.com/2hp/tune/manual.pdf
2,58,"Basimilus Iteritas Alter",10,90,80,5,28,,186,8723,"Noise Engineering",Yes,https://vintageking.com/amfile/file/download/file/734/product/20832/
2,68,Kickall,6,0,26,26,30,,187,20694,Befaco,Yes,https://befaco.org/docs/Kickall/Kickall_User_Manual.pdf
2,74,Mix,2,0,41,41,42,,363,10081,2hp,Yes,https://www.analoguehaven.com/2hp/mix/manual.pdf
2,76,"Pip Slope (mk II)",4,0,30,10,38,,163,29674,"ALM Busy Circuits",Yes,https://busycircuits.com/docs/alm028-manual.pdf
2,80,"Compare 2",8,0,20,15,30,,578,14115,"Joranalogue Audio Design",Yes,https://www.rawvoltage.wien/pdf-attachments/compare-2-user-manual.pdf
2,101,"Roti Pola",4,0,58,40,26,,186,19634,"Noise Engineering",Yes,https://manuals.noiseengineering.us/rp/
3,1,"STEP FADER MKII",26,,85,36,,,713,40018,"Tesseract Modular",Yes,https://www.tesseractmodular.com/manuals/
3,27,A-148,4,0,20,20,30,,1,82,Doepfer,Yes,https://doepfer.de/a100_man/A148_man.pdf
3,31,MultiMod,10,0,195,10,39,,52,52919,"Make Noise",Yes (local),multimod-manual.pdf
3,41,"Buchla 292t",16,,87,36,45,,75,34891,"Tiptop Audio",Yes,https://tiptopaudio.com/manuals/Buchla_&_Tiptop_Audio_292t.pdf
3,57,"Avert (Black Panel)",2,0,9,5,42,,363,16317,2hp,Yes,https://www.analoguehaven.com/2hp/avert/manual.pdf
3,59,Stages,14,0,80,20,25,,160,16507,"Mutable instruments",Yes,https://pichenettes.github.io/mutable-instruments-documentation/modules/stages/downloads/stages_quickstart.pdf
3,73,"Select 2",6,0,25,25,30,,578,17035,"Joranalogue Audio Design",Yes,https://www.analoguehaven.com/joranalogue-audio-design/select-2/manual.pdf
3,79,Ceis,8,,60,30,27,,391,15546,Instruō,Yes,https://www.instruomodular.com/wp-content/uploads/2019/09/Ceis-Manual-A5-v.2.pdf
3,87,MicroTides,8,,51,26,,,693,25686,"Michigan Synth Works",Yes,https://pichenettes.github.io/mutable-instruments-documentation/modules/tides_2018/downloads/tides_quickstart.pdf
3,95,"Uryan Modular MLTPL AlfaBeta - black",2,,,,,1,82,37489,Other/unknown,No,
3,97,"Pamela's NEW Workout",8,0,50,1,22,,163,9922,"ALM Busy Circuits",Yes,https://assets.busycircuits.com/docs/alm017-manual.pdf
4,1,"Quadratt 1U",28,0,24,23,29,,42,7958,Intellijel,Yes,https://intellijel.com/downloads/manuals/quadratt-1u_manual_2021.07.26.pdf
4,29,"DUAL VCA 1U",8,,37,40,29,,42,22403,Intellijel,Yes,https://intellijel.com/downloads/manuals/dual-vca-1u_manual_2021.08.03.pdf
4,37,"Buff Mult 1U",14,0,4,17,29,,42,10565,Intellijel,Yes,https://intellijel.com/downloads/manuals/buff-mult-1u_manual_2018.09.13.pdf
4,51,"Switched Mult 1U",14,,,,18,1,42,32706,Intellijel,Yes,https://intellijel.com/downloads/manuals/switched-mult-1u_manual_2021.03.21.pdf
4,65,"Zeroscope 1U",16,0,8,0,26,,42,20472,Intellijel,Yes,https://intellijel.com/downloads/manuals/zeroscope-1u_manual_2020.10.26.pdf
5,1,Ears,4,0,5,5,25,,160,9504,"Mutable instruments",Yes,https://pichenettes.github.io/mutable-instruments-documentation/modules/ears/downloads/ears_quickstart.pdf
5,5,Maths,20,0,60,50,24,,52,2697,"Make Noise",Yes,https://www.makenoisemusic.com/wp-content/uploads/2024/03/MATHSmanual2013.pdf
